Student_ID,Study_Hours,Exam_Score,Attendance,Homework_Score,Orientation
STU-1347-00001,23.9,73,83.7,65.1,Scientific
STU-1347-00002,21.8,73,83.1,57.6,Scientific
STU-1347-00003,18.5,57,85.2,56.0,Literary
STU-1347-00004,20.6,56,80.8,55.5,Literary
STU-1347-00005,21.2,65,83.3,49.9,Literary
STU-1347-00006,28.4,79,91.1,65.3,Scientific
STU-1347-00007,19.9,62,80.3,51.9,Literary
STU-1347-00008,25.9,73,87.4,69.0,Scientific
STU-1347-00009,33.0,85,94.6,72.6,Scientific
STU-1347-00010,26.6,68,87.3,61.4,Scientific
STU-1347-00011,26.0,67,85.1,64.7,Scientific
STU-1347-00012,24.7,68,83.4,62.8,Scientific
STU-1347-00013,22.0,63,85.1,59.1,Literary
STU-1347-00014,22.1,62,82.4,62.8,Literary
STU-1347-00015,15.2,54,75.3,50.9,Literary
STU-1347-00016,20.4,65,84.1,45.7,Literary
STU-1347-00017,10.5,47,72.2,37.4,Literary
STU-1347-00018,23.2,71,83.8,66.5,Scientific
STU-1347-00019,16.5,55,77.3,49.4,Literary
STU-1347-00020,22.2,66,81.2,55.7,Literary
STU-1347-00021,24.2,76,88.5,58.1,Scientific
STU-1347-00022,26.3,75,87.1,62.5,Scientific
STU-1347-00023,21.6,56,78.2,51.9,Literary
STU-1347-00024,31.3,86,92.1,65.3,Scientific
STU-1347-00025,21.4,69,78.6,53.8,Literary
STU-1347-00026,16.2,56,74.5,48.3,Literary
STU-1347-00027,13.5,50,77.2,46.0,Literary
STU-1347-00028,18.9,57,76.9,56.4,Literary
STU-1347-00029,19.8,63,79.7,54.7,Literary
STU-1347-00030,26.6,70,85.8,59.6,Scientific
STU-1347-00031,25.1,67,83.1,58.2,Literary
STU-1347-00032,24.4,72,83.8,57.8,Scientific
STU-1347-00033,19.0,52,78.7,46.3,Literary
STU-1347-00034,21.2,62,77.9,59.3,Literary
STU-1347-00035,29.8,86,91.6,64.7,Scientific
STU-1347-00036,32.7,91,96.8,72.1,Scientific
STU-1347-00037,17.4,59,79.1,48.9,Literary
STU-1347-00038,21.5,69,82.2,53.6,Literary
STU-1347-00039,17.0,61,80.0,45.7,Literary
STU-1347-00040,23.7,78,84.4,66.9,Scientific
STU-1347-00041,20.7,75,80.8,55.9,Scientific
STU-1347-00042,20.3,56,79.6,53.1,Literary
STU-1347-00043,23.0,73,85.8,64.3,Scientific
STU-1347-00044,21.4,67,80.7,62.3,Literary
STU-1347-00045,28.4,82,92.0,63.1,Scientific
STU-1347-00046,22.5,64,81.0,56.5,Literary
STU-1347-00047,26.5,75,89.8,56.7,Scientific
STU-1347-00048,24.2,69,84.5,60.8,Scientific
STU-1347-00049,28.5,75,85.8,61.9,Scientific
STU-1347-00050,21.6,54,81.8,49.8,Literary
STU-1347-00051,19.6,66,84.7,55.4,Literary
STU-1347-00052,22.4,66,80.9,62.1,Literary
STU-1347-00053,26.6,80,91.7,62.6,Scientific
STU-1347-00054,17.2,60,75.0,44.6,Literary
STU-1347-00055,31.0,96,94.8,73.7,Scientific
STU-1347-00056,25.2,69,82.5,58.0,Scientific
STU-1347-00057,24.0,73,84.8,63.3,Scientific
STU-1347-00058,25.1,81,83.6,66.9,Scientific
STU-1347-00059,29.1,78,92.5,67.5,Scientific
STU-1347-00060,24.0,67,87.1,52.7,Literary
STU-1347-00061,30.7,86,94.1,76.2,Scientific
STU-1347-00062,25.0,74,87.0,60.8,Scientific
STU-1347-00063,28.6,88,88.1,69.0,Scientific
STU-1347-00064,26.5,79,90.5,58.1,Scientific
STU-1347-00065,29.0,84,93.2,66.9,Scientific
STU-1347-00066,30.0,77,89.5,64.2,Scientific
STU-1347-00067,19.9,66,83.0,56.0,Literary
STU-1347-00068,23.4,62,85.0,55.0,Literary
STU-1347-00069,17.9,60,79.6,52.2,Literary
STU-1347-00070,20.0,60,86.3,56.5,Literary
STU-1347-00071,25.5,64,86.1,60.2,Literary
STU-1347-00072,31.5,85,97.3,67.7,Scientific
STU-1347-00073,12.0,42,71.7,39.6,Literary
STU-1347-00074,28.6,80,93.7,66.6,Scientific
STU-1347-00075,36.1,95,97.0,82.0,Scientific
STU-1347-00076,32.3,94,91.9,73.5,Scientific
STU-1347-00077,28.1,62,89.7,56.7,Literary
STU-1347-00078,20.8,67,84.7,51.5,Literary
STU-1347-00079,20.8,60,78.4,52.1,Literary
STU-1347-00080,28.2,72,82.5,61.1,Scientific
STU-1347-00081,14.6,50,75.4,48.5,Literary
STU-1347-00082,19.2,55,80.3,57.3,Literary
STU-1347-00083,23.1,51,81.1,56.4,Literary
STU-1347-00084,29.5,76,89.9,66.6,Scientific
STU-1347-00085,27.4,79,88.0,59.5,Scientific
STU-1347-00086,28.5,86,92.0,66.3,Scientific
STU-1347-00087,22.7,69,84.1,56.2,Literary
STU-1347-00088,26.3,73,88.3,62.5,Scientific
STU-1347-00089,26.9,78,87.0,58.9,Scientific
STU-1347-00090,21.5,66,83.4,54.5,Literary
STU-1347-00091,24.2,63,80.9,59.6,Literary
STU-1347-00092,22.8,81,81.1,60.3,Scientific
STU-1347-00093,33.0,84,91.8,74.4,Scientific
STU-1347-00094,15.8,55,77.7,52.1,Literary
STU-1347-00095,21.0,58,83.1,55.9,Literary
STU-1347-00096,26.6,71,88.2,64.0,Scientific
STU-1347-00097,19.9,57,75.4,51.2,Literary
STU-1347-00098,22.4,64,86.8,57.6,Literary
STU-1347-00099,21.5,59,80.6,57.8,Literary
STU-1347-00100,20.5,63,79.3,51.9,Literary
STU-1347-00101,19.6,65,80.2,55.2,Literary
STU-1347-00102,27.0,73,85.6,68.7,Scientific
STU-1347-00103,24.3,69,81.7,56.8,Literary
STU-1347-00104,25.8,77,84.8,67.7,Scientific
STU-1347-00105,16.6,48,75.8,47.4,Literary
STU-1347-00106,22.8,62,87.5,55.4,Literary
STU-1347-00107,26.1,70,88.7,62.7,Scientific
STU-1347-00108,28.3,89,91.0,71.6,Scientific
STU-1347-00109,23.3,73,85.6,56.8,Scientific
STU-1347-00110,16.7,57,74.7,47.9,Literary
STU-1347-00111,28.6,78,87.7,68.2,Scientific
STU-1347-00112,21.0,62,81.3,54.2,Literary
STU-1347-00113,30.5,80,92.8,70.6,Scientific
STU-1347-00114,26.3,80,88.9,61.2,Scientific
STU-1347-00115,19.7,64,75.3,50.4,Literary
STU-1347-00116,28.7,75,89.9,62.2,Scientific
STU-1347-00117,26.3,71,84.5,59.2,Scientific
STU-1347-00118,29.5,71,88.4,65.0,Scientific
STU-1347-00119,16.2,53,78.6,51.8,Literary
STU-1347-00120,20.6,65,79.6,57.8,Literary
STU-1347-00121,22.3,67,84.1,61.1,Literary
STU-1347-00122,15.9,48,77.0,38.4,Literary
STU-1347-00123,32.5,84,97.2,67.9,Scientific
STU-1347-00124,21.2,62,80.7,52.5,Literary
STU-1347-00125,24.1,74,83.3,58.2,Scientific
STU-1347-00126,28.5,82,89.9,69.6,Scientific
